nombre_archivo,url_oficial_verificada
ORDEN_EDU_276_2026_16_marzo_convocan_acciones.pdf,https://bocyl.jcyl.es/boletines/2026/03/23/pdf/BOCYL-D-23032026-56.pdf
ORDEN_EDU_87_2023_13_enero_modifica_Orden.pdf,https://bocyl.jcyl.es/boletines/2023/01/27/pdf/BOCYL-D-27012023-11.pdf
ORDEN_EYH_1050_2021_9_septiembre_modifica_Orden.pdf,https://bocyl.jcyl.es/boletines/2021/09/22/pdf/BOCYL-D-22092021-1.pdf
ORDEN_EYH_758_2017_29_agosto_modifica_Orden.pdf,https://bocyl.jcyl.es/boletines/2017/09/08/pdf/BOCYL-D-08092017-2.pdf
ORDEN_HAC_1605_2011_29_diciembre_desarrolla_gestion.pdf,https://bocyl.jcyl.es/boletines/2011/12/30/pdf/BOCYL-D-30122011-9.pdf
Correccion_erratas_Real_Decreto_1073_2012_Operaciones_Subacuaticas.pdf,https://www.boe.es/boe/dias/2013/01/04/pdfs/BOE-A-2013-113.pdf
Correccion_erratas_Real_Decreto_281_2021_Vehiculos_Hibridos_Electricos.pdf,https://www.boe.es/boe/dias/2021/05/21/pdfs/BOE-A-2021-8451.pdf
Correccion_erratas_Real_Decreto_687_2010_Direccion_Cocina.pdf,https://www.boe.es/boe/dias/2010/08/11/pdfs/BOE-A-2010-12971.pdf
Correccion_erratas_Real_Decreto_880_2011_Instalacion_Amueblamiento.pdf,https://www.boe.es/boe/dias/2011/09/28/pdfs/BOE-A-2011-15212.pdf
Correccion_error_errata_Real_Decreto_1679_2011_Vestuario.pdf,https://www.boe.es/boe/dias/2012/02/24/pdfs/BOE-A-2012-2672.pdf
Correccion_errores_Real_Decreto_1153_2021_Materiales_Compuestos.pdf,https://www.boe.es/boe/dias/2022/02/10/pdfs/BOE-A-2022-2119.pdf
Correccion_errores_Real_Decreto_1157_2024_Sanidad_Ambiental_Aplicada.pdf,https://www.boe.es/boe/dias/2025/05/23/pdfs/BOE-A-2025-10206.pdf
Correccion_errores_Real_Decreto_1572_2011_Transporte_Logistica.pdf,https://www.boe.es/boe/dias/2012/02/16/pdfs/BOE-A-2012-2309.pdf
Correccion_errores_Real_Decreto_1573_2011_Gestion_Ventas.pdf,https://www.boe.es/boe/dias/2012/02/16/pdfs/BOE-A-2012-2310.pdf
Correccion_errores_Real_Decreto_1575_2011_Construccion.pdf,https://www.boe.es/boe/dias/2012/02/16/pdfs/BOE-A-2012-2311.pdf
Correccion_errores_Real_Decreto_1583_2011_Animaciones_3D.pdf,https://www.boe.es/boe/dias/2012/03/12/pdfs/BOE-A-2012-3441.pdf
Correccion_errores_Real_Decreto_1593_2011_Atencion_Dependencia.pdf,https://www.boe.es/boe/dias/2012/02/18/pdfs/BOE-A-2012-2401.pdf
